source_feature,mean_abs_shap,mean_signed_shap,max_transformed_abs_shap,num_transformed_features,importance_rank,feature_note
mean_temp_mean_30d,0.8724623785322541,-0.473382456884151,0.8724623785322541,1,1,
repair_active_days_365d,0.35634486469707155,-0.2729180363067389,0.35634486469707155,1,2,
repair_event_count_collapsed_365d,0.3445895672931354,-0.18378193937227139,0.3445895672931354,1,3,
days_since_last_repair,0.26399727783509835,-0.045081121529831174,0.26399727783509835,1,4,Temporal maintenance recency indicator. High values indicate extended period without recorded repair events.
total_precip_sum_90d,0.25283192065963295,-0.25002604745201956,0.25283192065963295,1,5,
min_temp_min_365d,0.24658420054794586,-0.24658420054794586,0.24658420054794586,1,6,
max_temp_max_30d,0.24148221364818728,-0.021706089402578108,0.24148221364818728,1,7,
official_administrative_name,0.23067498574059572,-0.001821632890807685,0.07690797121527275,35,8,
functional_road_class,0.22863841736488133,-0.008996937243802452,0.12870807907892765,10,9,
administrative_category,0.21948082866921564,-0.04398279367134133,0.1584089218731884,3,10,
days_since_condition_survey,0.1642406943805337,0.0016698980570696033,0.1642406943805337,1,11,
mean_temp_mean_180d,0.12386148082740131,-0.04752101412268389,0.12386148082740131,1,12,
max_temp_max_180d,0.11519821808885174,-0.0527345760313745,0.11519821808885174,1,13,
segment_length_m,0.1078517299092289,-0.010291354896047412,0.1078517299092289,1,14,Structural segment proxy. Highly correlated with road category and network geometry; its SHAP contribution reflects physical exposure and length-dependent opportunity.
min_temp_min_30d,0.0924258711197092,-0.055557161450325784,0.0924258711197092,1,15,
latest_pci,0.08529065000984895,-0.02602088891784487,0.08529065000984895,1,16,
mean_temp_mean_90d,0.07588551060952241,-0.04265239974605024,0.07588551060952241,1,17,
condition_campaign_scope,0.06935359086651545,-0.0023017228401701075,0.0436009787831674,4,18,
freeze_thaw_strict_sum_180d,0.06394112883673685,0.007352241113436362,0.06394112883673685,1,19,
min_temp_min_180d,0.061186487421931224,-0.02483280494981652,0.061186487421931224,1,20,
pci_min,0.057726574018679366,-0.019185977592279573,0.057726574018679366,1,21,
pci_max,0.049657280626032696,-0.011672200954267206,0.049657280626032696,1,22,
asset_temporal_eligibility_status,0.0401906552245102,-0.0019794578985939445,0.0213065802650276,4,23,
repair_history_valid_days_180d,0.03676582886253384,-0.03676582886253384,0.03676582886253384,1,24,
mean_temp_fallback_days_365d,0.035045445387055285,-0.034951365119924915,0.035045445387055285,1,25,
min_temp_min_90d,0.033757102343038956,-0.028135369956976387,0.033757102343038956,1,26,
no_prior_repair_flag,0.03245200922612269,-0.018249575013405985,0.03245200922612269,1,27,Binary indicator for segments with zero historical repairs in observation window.
max_temp_max_90d,0.031392180593339085,0.030691080969082605,0.031392180593339085,1,28,
prior_repair_months_12m,0.023705697692907632,-0.02019328521757684,0.023705697692907632,1,29,Corrected remediated feature. Evaluated after repairing upper-bound historical repair date filtering bug in Phase 5 remediation.
total_precip_sum_30d,0.023237470991623224,-0.013072029500107512,0.023237470991623224,1,30,
road_type,0.018813568105684346,-0.0001685091316288275,0.007968359656414778,31,31,
total_precip_sum_180d,0.01814898131170735,-0.01245209632239491,0.01814898131170735,1,32,
freeze_thaw_min_le_zero_sum_180d,0.017767994108443142,-0.005088310106951782,0.017767994108443142,1,33,
date_contradiction_status,0.017188358673586732,-0.0006089772501643327,0.012434601164839644,5,34,
repair_history_coverage_ratio_180d,0.015337449668702338,-0.015337435838911563,0.015337449668702338,1,35,
years_since_resurfacing_lower,0.013109363464605318,0.01118210880487224,0.013109363464605318,1,36,
weather_valid_days_30d,0.013096847377555345,-0.013096847377555345,0.013096847377555345,1,37,
repair_active_days_90d,0.012735358599269605,-0.01112813530280908,0.012735358599269605,1,38,
mean_temp_mean_365d,0.0126931955148327,0.003735935023430898,0.0126931955148327,1,39,
max_temp_fallback_days_365d,0.01219690285404654,-0.012168674597113373,0.01219690285404654,1,40,
mean_temp_fallback_days_180d,0.011729276548219113,-0.01172209259219005,0.011729276548219113,1,41,
years_since_construction_lower,0.011350363621331941,0.0033205411767050228,0.011350363621331941,1,42,
years_since_resurfacing_upper,0.011101979272641168,0.00967846882497852,0.011101979272641168,1,43,
road_category,0.009345021649714267,-0.000379464459279512,0.005744526023860926,7,44,
total_precip_sum_365d,0.008753977248432632,-0.00260282087553707,0.008753977248432632,1,45,
repair_event_count_collapsed_90d,0.007724164845821487,-0.005690816609827012,0.007724164845821487,1,46,
freeze_thaw_strict_sum_30d,0.006981535882744714,-0.001554671492995679,0.006981535882744714,1,47,
latest_iri,0.006591562249046119,0.006370018104480612,0.006591562249046119,1,48,
freeze_thaw_max_ge_zero_sum_180d,0.006448587398016896,0.0007076067797953556,0.006448587398016896,1,49,
freeze_thaw_min_le_zero_sum_365d,0.0058099420214932805,2.6250150086129107e-05,0.0058099420214932805,1,50,
mean_temp_fallback_days_30d,0.00528719366588276,-0.0016933505141968823,0.00528719366588276,1,51,
freeze_thaw_min_le_zero_sum_30d,0.005239954664753746,-0.00408566288253607,0.005239954664753746,1,52,
repair_event_count_collapsed_30d,0.0050119396467129,-0.003619627438809641,0.0050119396467129,1,53,
boundary_candidate_count,0.0048738190553162765,-0.0020468371032343674,0.0048738190553162765,1,54,
freeze_thaw_strict_sum_365d,0.004416312232008012,-0.002289006601572535,0.004416312232008012,1,55,
freeze_thaw_strict_sum_90d,0.004011156460779562,-0.0017377772968019812,0.004011156460779562,1,56,
years_since_construction_upper,0.0040065585720881905,0.00127642862147099,0.0040065585720881905,1,57,
condition_candidate_count,0.0036497990877183456,0.002190746185943532,0.0036497990877183456,1,58,
max_temp_max_365d,0.003453470934118832,0.0019786050770406005,0.003453470934118832,1,59,
min_temp_fallback_days_365d,0.0033259752908007274,-0.0033238059097393294,0.0033259752908007274,1,60,
repair_history_valid_days_365d,0.003261438776191636,0.0014043941214867827,0.003261438776191636,1,61,
repair_active_days_180d,0.0032505236741345164,-0.003107703793697924,0.0032505236741345164,1,62,
repair_history_coverage_ratio_90d,0.0027276421805639776,-0.0027276421805639776,0.0027276421805639776,1,63,
weather_valid_days_365d,0.0025777184563417297,0.002176293192391872,0.0025777184563417297,1,64,
